time_period,location,disease_cases,population,t2m_mean_c_month,tp_sum_mm_month
1998-01,VNM_ADM1_0001,94.0,912501.9879307896,22.464039606574897,3.9028271857291834
1998-02,VNM_ADM1_0001,26.0,912501.9879307896,23.1728568922045,2.5663140956906343
1998-03,VNM_ADM1_0001,9.0,912501.9879307896,25.194264117913583,1.175982280673043
1998-04,VNM_ADM1_0001,11.0,912501.9879307896,26.919222709525165,4.126259050338764
1998-05,VNM_ADM1_0001,20.0,912501.9879307896,27.517565181562087,9.350741841895752
1998-06,VNM_ADM1_0001,50.0,912501.9879307896,28.558860376923175,6.417437313823513
1998-07,VNM_ADM1_0001,348.0,912501.9879307896,28.202850162968,5.641344673087708
1998-08,VNM_ADM1_0001,1237.0,912501.9879307896,27.35771410426044,6.868703889298216
1998-09,VNM_ADM1_0001,678.0,912501.9879307896,25.723146855466847,22.387441327277056
1998-10,VNM_ADM1_0001,729.0,912501.9879307896,24.29302466412477,11.032266123805863
1998-11,VNM_ADM1_0001,524.0,912501.9879307896,23.085017027990407,28.26814374198761
1998-12,VNM_ADM1_0001,260.0,912501.9879307896,20.755038350457284,13.145361513600458
1999-01,VNM_ADM1_0001,69.0,912501.9879307896,20.264868399399308,10.101509825744046
1999-02,VNM_ADM1_0001,16.0,912501.9879307896,21.04967336207116,6.90177505366531
1999-03,VNM_ADM1_0001,20.0,912501.9879307896,24.51295034795414,2.624021894397147
1999-04,VNM_ADM1_0001,26.0,912501.9879307896,25.09557428343953,9.056753938275708
1999-05,VNM_ADM1_0001,27.0,912501.9879307896,25.52569415538076,9.012367148210943
1999-06,VNM_ADM1_0001,13.0,912501.9879307896,27.125802321625784,6.645684362410668
1999-07,VNM_ADM1_0001,9.0,912501.9879307896,27.68386281220753,7.000463000955103
1999-08,VNM_ADM1_0001,6.0,912501.9879307896,27.27653276584602,4.1582812299160326
1999-09,VNM_ADM1_0001,13.0,912501.9879307896,25.76822511662091,10.077550275915598
1999-10,VNM_ADM1_0001,9.0,912501.9879307896,24.232634948102483,15.04025797286886
1999-11,VNM_ADM1_0001,5.0,912501.9879307896,22.88498778143145,23.83808117717333
1999-12,VNM_ADM1_0001,7.0,912501.9879307896,18.820404750415197,26.092702917551268
2000-01,VNM_ADM1_0001,0.0,912501.9879307896,20.64519554877997,8.196044989742393
2000-02,VNM_ADM1_0001,0.0,912501.9879307896,20.54105498944126,3.3355749453115657
2000-03,VNM_ADM1_0001,0.0,912501.9879307896,22.61098292830188,1.9516566933708777
2000-04,VNM_ADM1_0001,0.0,912501.9879307896,25.52779291083004,12.036007805770142
2000-05,VNM_ADM1_0001,0.0,912501.9879307896,26.07598720735603,12.516811251258284
2000-06,VNM_ADM1_0001,0.0,912501.9879307896,26.73817553682353,9.66421321030712
2000-07,VNM_ADM1_0001,0.0,912501.9879307896,26.96092850768682,7.382270462663004
2000-08,VNM_ADM1_0001,0.0,912501.9879307896,27.232921149652512,9.815792078828904
2000-09,VNM_ADM1_0001,1.0,912501.9879307896,25.423161280181077,6.832319743840945
2000-10,VNM_ADM1_0001,1.0,912501.9879307896,24.02414229528061,14.017292922416903
2000-11,VNM_ADM1_0001,3.0,912501.9879307896,21.881817781607115,26.931444154167576
2000-12,VNM_ADM1_0001,0.0,912501.9879307896,20.894767071054527,24.731348644811973
2001-01,VNM_ADM1_0001,1.0,912501.9879307896,21.358505450785355,3.897375116397072
2001-02,VNM_ADM1_0001,3.0,912501.9879307896,20.92889932770919,5.470494774001383
2001-03,VNM_ADM1_0001,4.0,912501.9879307896,23.10865101089901,7.23356836347286
2001-04,VNM_ADM1_0001,1.0,912501.9879307896,26.402846532466288,0.908477965982296
2001-05,VNM_ADM1_0001,2.0,912501.9879307896,26.61720541392767,11.382562740682625
2001-06,VNM_ADM1_0001,10.0,912501.9879307896,27.233323913598674,8.773681817758517
2001-07,VNM_ADM1_0001,6.0,912501.9879307896,27.811866236824116,5.0451461782636295
2001-08,VNM_ADM1_0001,15.0,912501.9879307896,26.645659404228496,11.899380865132006
2001-09,VNM_ADM1_0001,13.0,912501.9879307896,26.13744718987189,7.915549169865624
2001-10,VNM_ADM1_0001,39.0,912501.9879307896,24.51973450066121,12.101024158880596
2001-11,VNM_ADM1_0001,30.0,912501.9879307896,21.907715999838583,11.930244616016894
2001-12,VNM_ADM1_0001,17.0,912501.9879307896,20.520415687661917,14.09409527801144
2002-01,VNM_ADM1_0001,3.0,912501.9879307896,20.16533439032685,5.639000755361886
2002-02,VNM_ADM1_0001,1.0,912501.9879307896,21.063063625738828,1.8078577142609904
2002-03,VNM_ADM1_0001,1.0,912501.9879307896,23.49908089970954,2.847639256049287
2002-04,VNM_ADM1_0001,1.0,912501.9879307896,25.7739283259134,1.9759968509132355
2002-05,VNM_ADM1_0001,9.0,912501.9879307896,27.05989473812532,7.931619998405051
2002-06,VNM_ADM1_0001,11.0,912501.9879307896,27.778445033289174,6.3396169702863245
2002-07,VNM_ADM1_0001,23.0,912501.9879307896,28.13165857829077,5.690736041704019
2002-08,VNM_ADM1_0001,13.0,912501.9879307896,26.77736154302501,10.252755646475093
2002-09,VNM_ADM1_0001,31.0,912501.9879307896,25.21498725412819,14.755475730935355
2002-10,VNM_ADM1_0001,166.0,912501.9879307896,24.294805115791025,8.083373159034043
2002-11,VNM_ADM1_0001,270.0,912501.9879307896,22.820941749021383,16.09087966517487
2002-12,VNM_ADM1_0001,138.0,912501.9879307896,22.051307223253843,13.55607648638319
2003-01,VNM_ADM1_0001,20.0,912501.9879307896,19.61513211564129,5.089078169964688
2003-02,VNM_ADM1_0001,1.0,912501.9879307896,21.950814451251468,2.5375555654629154
2003-03,VNM_ADM1_0001,5.0,912501.9879307896,23.464050596152923,5.694710214299355
2003-04,VNM_ADM1_0001,8.0,912501.9879307896,26.10606663641675,3.8729663260439806
2003-05,VNM_ADM1_0001,10.0,912501.9879307896,27.11651889858849,6.328043815424328
2003-06,VNM_ADM1_0001,8.0,912501.9879307896,27.661158309718825,7.827241707195955
2003-07,VNM_ADM1_0001,46.0,912501.9879307896,27.35413563271101,3.802358057910327
